,roomid,dust,temperature,humidity,co2
226,208,43.0,22.169492,70.44223000000001,607.0
227,208,43.0,22.158767,70.732147,602.0
228,208,41.0,22.169492,71.540863,600.0
229,208,41.0,22.180217000000003,71.388275,600.0
230,208,44.0,22.158767,70.65585300000001,651.0
231,208,41.0,22.169492,71.464569,624.0
232,208,40.0,22.180217000000003,71.861298,619.0
233,208,40.0,22.169492,71.89181500000001,613.0
234,208,42.0,22.180217000000003,71.426422,600.0
235,208,42.0,22.180217000000003,71.45694,608.0
236,208,41.0,22.180217000000003,71.640045,658.0
237,208,46.0,22.137317000000003,70.44986,649.0
238,208,41.0,22.169492,71.044952,621.0
239,208,42.0,22.158767,71.464569,613.0
240,208,41.0,22.158767,71.235687,638.0
241,208,44.0,22.169492,70.78555300000001,610.0
242,208,44.0,22.169492,70.564301,622.0
243,208,40.0,22.190942,71.723969,676.0
244,208,43.0,22.158767,70.999176,641.0
245,208,42.0,22.158767,70.89999399999999,604.0
246,208,42.0,22.169492,71.380646,600.0
247,208,44.0,22.148042,70.869476,641.0
248,211,49.0,22.684297,69.86239599999999,609.0
249,211,46.0,22.737922,69.953949,623.0
250,211,51.0,22.695022,69.244415,613.0
251,211,47.0,22.684297,69.412262,623.0
252,211,47.0,22.727197,69.80899000000001,628.0
253,211,45.0,22.759373,70.175201,615.0
254,211,52.0,22.684297,69.023163,612.0
255,211,51.0,22.695022,69.114716,614.0
256,211,50.0,22.684297,69.488556,617.0
257,211,46.0,22.727197,69.81662,634.0
258,211,48.0,22.727197,69.847137,624.0
259,211,46.0,22.759373,70.022614,621.0
260,211,48.0,22.695022,69.709808,614.0
261,211,51.0,22.684297,69.038422,606.0
262,211,50.0,22.684297,69.19100999999999,614.0
263,211,49.0,22.748647000000002,70.014984,622.0
264,211,48.0,22.684297,69.610626,614.0
265,211,48.0,22.705747,69.86239599999999,627.0
266,211,48.0,22.705747,69.892914,622.0
267,211,49.0,22.684297,69.366486,620.0
268,211,46.0,22.684297,69.763214,618.0
269,211,47.0,22.727197,69.831879,633.0
270,211,47.0,22.770098,70.037872,634.0
271,211,47.0,22.759373,70.098907,630.0
272,211,49.0,22.716472,69.824249,633.0
273,211,50.0,22.695022,69.290192,612.0
274,211,47.0,22.673572,69.625885,626.0
275,211,50.0,22.684297,69.068939,612.0
276,211,45.0,22.695022,69.900543,611.0
277,211,51.0,22.695022,69.541962,612.0
278,211,47.0,22.705747,69.892914,614.0
279,212,53.0,22.845173000000003,69.175751,622.0
280,212,55.0,22.898799,69.770844,613.0
281,212,57.0,22.888074,68.79428100000001,623.0
282,212,52.0,22.920249,69.953949,631.0
283,212,54.0,22.823723,69.48092700000001,617.0
284,212,58.0,22.877349,68.733246,622.0
285,212,55.0,22.855898,69.084198,622.0
286,212,58.0,22.866623999999998,68.878204,625.0
287,212,54.0,22.930974,70.243866,608.0
288,212,54.0,22.845173000000003,69.267303,630.0
289,212,54.0,22.855898,69.68692,605.0
290,212,58.0,22.855898,69.46566800000001,621.0
291,212,51.0,22.909523999999998,69.931061,618.0
292,212,48.0,22.877349,69.839508,619.0
293,212,50.0,22.898799,70.25149499999999,623.0
294,212,52.0,22.888074,69.81662,639.0
295,212,55.0,22.855898,69.587738,621.0
296,212,51.0,22.888074,69.847137,632.0
297,212,53.0,22.845173000000003,69.397003,635.0
298,212,51.0,22.930974,69.93869000000001,632.0
299,212,52.0,22.930974,69.98446700000001,633.0
300,212,56.0,22.888074,68.717987,618.0
301,212,52.0,22.909523999999998,69.81662,638.0
302,212,60.0,22.866623999999998,69.023163,608.0
303,212,52.0,22.920249,70.091278,618.0
304,212,51.0,22.866623999999998,69.831879,618.0
305,212,50.0,22.898799,69.839508,627.0
306,212,58.0,22.909523999999998,69.69455,611.0
307,212,55.0,22.845173000000003,69.328339,619.0
308,212,51.0,22.920249,69.86239599999999,629.0
309,212,53.0,22.888074,69.786102,624.0
310,213,44.0,23.102576000000003,69.328339,651.0
311,213,49.0,22.995325,68.93924,600.0
312,213,47.0,22.973875,68.519623,607.0
313,213,44.0,23.038225,69.33596800000001,673.0
314,213,48.0,22.995325,68.779022,602.0
315,213,51.0,22.963148999999998,69.366486,600.0
316,213,44.0,22.963148999999998,69.610626,639.0
317,213,47.0,22.973875,69.114716,602.0
318,213,45.0,23.124026,69.44278,608.0
319,213,46.0,23.124026,69.64877299999999,609.0
320,213,48.0,22.9846,69.526703,600.0
321,213,45.0,22.973875,69.549591,644.0
322,213,46.0,22.952424,69.610626,629.0
323,213,50.0,22.9846,68.412811,609.0
324,213,48.0,22.973875,69.366486,610.0
325,213,46.0,22.973875,68.74850500000001,600.0
326,213,44.0,22.9846,69.48092700000001,669.0
327,213,45.0,23.0704,69.297821,671.0
328,213,44.0,23.102576000000003,69.389374,660.0
329,213,44.0,23.0275,69.381744,679.0
330,213,47.0,23.134751,69.541962,619.0
331,213,47.0,22.995325,68.862946,606.0
332,213,43.0,23.102576000000003,69.397003,644.0
